                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77814,                 1.6123,                 1.0075,                0.92616,                0.58308,                 0.6797,                0.53043,                0.83597,                 2.2892,                0.96685,             0.00064912,             0.00064912,             0.00064912
                      2,                0.75022,                0.86439,                 0.9785,                0.63975,                0.40816,                0.45507,                 0.3108,                 1.3068,                 1.9857,                 1.2345,              0.0013028,              0.0013028,              0.0013028
                      3,                0.76862,                0.73562,                0.98344,                 0.7538,                 0.6526,                0.68838,                0.51282,                0.91938,                0.97427,                 1.0649,              0.0019432,              0.0019432,              0.0019432
                      4,                0.79318,                0.66227,                0.99814,                0.80583,                0.68254,                0.74103,                0.57761,                0.78925,                 1.0345,                0.98228,              0.0019406,              0.0019406,              0.0019406
                      5,                0.75713,                0.59038,                0.99048,                0.83475,                0.58992,                0.65994,                0.48252,                0.94348,                 2.1793,                 1.0695,              0.0019208,              0.0019208,              0.0019208
                      6,                0.72063,                0.54314,                0.98196,                0.87283,                0.67699,                0.76844,                0.62419,                0.69189,                0.76265,                0.94132,               0.001901,               0.001901,               0.001901
                      7,                 0.7321,                0.53367,                0.98107,                0.89874,                 0.7517,                0.79692,                0.63917,                0.68571,                 1.1888,                0.93176,              0.0018812,              0.0018812,              0.0018812
                      8,                0.69164,                0.49094,                0.96534,                 0.8861,                 0.7449,                0.79254,                0.63806,                0.66122,                 1.1958,                0.91415,              0.0018614,              0.0018614,              0.0018614
                      9,                0.68514,                0.48752,                0.96621,                0.89096,                0.71331,                0.77355,                0.51631,                 1.0821,                0.67833,                 1.0892,              0.0018416,              0.0018416,              0.0018416
                     10,                0.67469,                0.46994,                0.96028,                0.93214,                0.77867,                0.83955,                0.66336,                0.70214,                0.45537,                0.93835,              0.0018218,              0.0018218,              0.0018218
                     11,                0.67511,                0.45797,                0.96398,                0.94439,                0.77021,                0.81338,                0.64456,                0.65736,                0.52217,                0.92087,               0.001802,               0.001802,               0.001802
                     12,                0.66252,                0.46185,                0.96146,                 0.9322,                0.79507,                0.82968,                0.67861,                0.64292,                0.45429,                 0.9227,              0.0017822,              0.0017822,              0.0017822
                     13,                0.64297,                0.44045,                0.95197,                0.93263,                0.77438,                0.83442,                0.69349,                0.61792,                0.46641,                0.90867,              0.0017624,              0.0017624,              0.0017624
                     14,                0.63741,                0.42802,                0.95124,                0.92514,                0.77098,                0.83011,                 0.6906,                0.62667,                 0.5022,                0.91946,              0.0017426,              0.0017426,              0.0017426
                     15,                0.62781,                0.42326,                0.95089,                0.84446,                0.80385,                0.82511,                0.70077,                0.58605,                 0.4847,                0.90697,              0.0017228,              0.0017228,              0.0017228
                     16,                0.63332,                0.41791,                0.95603,                0.91851,                0.79235,                0.82001,                 0.5627,                 1.1224,                0.52308,                 1.1021,               0.001703,               0.001703,               0.001703
                     17,                0.62226,                0.41182,                0.94856,                0.95349,                0.80159,                0.85658,                0.72474,                0.58675,                0.37741,                0.89859,              0.0016832,              0.0016832,              0.0016832
                     18,                0.61506,                0.40959,                0.94704,                 0.9096,                0.80993,                0.83733,                0.66457,                0.75173,                0.44089,                0.96024,              0.0016634,              0.0016634,              0.0016634
                     19,                0.61755,                0.40336,                0.93822,                0.92725,                0.80919,                0.85202,                0.72726,                0.55282,                0.36381,                0.87645,              0.0016436,              0.0016436,              0.0016436
                     20,                0.60322,                 0.3895,                 0.9386,                0.94103,                0.81421,                0.84548,                0.70721,                0.57711,                0.36323,                0.88978,              0.0016238,              0.0016238,              0.0016238
                     21,                0.60092,                0.38913,                0.93324,                0.95187,                0.79025,                0.84553,                0.63697,                0.82052,                0.47999,                0.98629,               0.001604,               0.001604,               0.001604
                     22,                0.60293,                0.38999,                0.94023,                0.94487,                0.80499,                0.85115,                0.70242,                0.60104,                0.36654,                 0.9074,              0.0015842,              0.0015842,              0.0015842
                     23,                0.58766,                0.38289,                 0.9287,                0.92525,                0.79996,                0.84014,                0.70416,                0.58173,                0.41135,                0.89721,              0.0015644,              0.0015644,              0.0015644
                     24,                0.58848,                0.38718,                0.93469,                0.93986,                0.80726,                 0.8369,                0.69606,                0.62229,                0.37833,                0.91564,              0.0015446,              0.0015446,              0.0015446
                     25,                 0.5732,                0.37375,                0.93128,                0.95052,                  0.822,                0.86014,                0.72995,                0.57826,                0.35038,                0.89314,              0.0015248,              0.0015248,              0.0015248
                     26,                0.57842,                0.37212,                0.92509,                0.93705,                0.82313,                0.86437,                0.74094,                0.53344,                0.33666,                0.87773,               0.001505,               0.001505,               0.001505
                     27,                0.57172,                0.36519,                0.92162,                0.93296,                0.80464,                0.84917,                0.72059,                 0.5544,                0.37441,                0.88809,              0.0014852,              0.0014852,              0.0014852
                     28,                0.57879,                0.36686,                0.93069,                0.91608,                0.82923,                0.86009,                0.73062,                0.55237,                0.34988,                 0.8814,              0.0014654,              0.0014654,              0.0014654
                     29,                0.57014,                0.36435,                0.92639,                0.96573,                0.79875,                0.85986,                0.72065,                0.58449,                0.33732,                0.88997,              0.0014456,              0.0014456,              0.0014456
                     30,                0.56784,                0.36099,                0.92775,                0.95131,                0.81971,                0.84965,                0.73621,                0.52392,                0.32458,                0.87841,              0.0014258,              0.0014258,              0.0014258
                     31,                0.55876,                0.35419,                0.92025,                0.92082,                0.78458,                 0.8349,                0.71428,                0.53545,                0.45092,                0.88114,               0.001406,               0.001406,               0.001406
                     32,                0.55257,                0.34905,                0.92165,                0.94324,                0.82993,                0.85679,                0.71448,                0.59263,                0.33415,                0.89368,              0.0013862,              0.0013862,              0.0013862
                     33,                0.55911,                0.34765,                0.92514,                0.91752,                0.81973,                0.85427,                0.70464,                0.60763,                0.37594,                0.90189,              0.0013664,              0.0013664,              0.0013664
                     34,                0.54266,                 0.3441,                0.91515,                0.94321,                0.81406,                0.86091,                 0.7393,                0.54291,                0.32073,                0.88364,              0.0013466,              0.0013466,              0.0013466
                     35,                0.54304,                0.34361,                0.91642,                0.94486,                  0.822,                0.85848,                0.73022,                0.54177,                0.32579,                0.89205,              0.0013268,              0.0013268,              0.0013268
                     36,                0.53313,                0.33987,                0.91527,                0.94659,                0.82379,                0.86041,                0.73281,                 0.5514,                0.32553,                 0.8957,               0.001307,               0.001307,               0.001307
                     37,                0.54258,                0.33935,                0.91925,                0.94417,                0.82455,                0.86757,                0.75065,                0.50675,                0.30819,                0.87104,              0.0012872,              0.0012872,              0.0012872
                     38,                0.53281,                0.33398,                0.91499,                0.96133,                0.81738,                0.86313,                0.73623,                0.54916,                0.31643,                0.88571,              0.0012674,              0.0012674,              0.0012674
                     39,                0.52918,                0.33325,                0.90718,                0.93282,                0.79252,                0.84771,                0.70956,                0.62169,                0.34764,                0.91749,              0.0012476,              0.0012476,              0.0012476
                     40,                0.51963,                0.32634,                0.90505,                0.93495,                0.81477,                0.86381,                0.74058,                0.53695,                0.34868,                0.88938,              0.0012278,              0.0012278,              0.0012278
                     41,                0.51947,                 0.3224,                0.90615,                 0.9457,                0.82086,                0.85972,                0.72602,                0.57404,                0.33176,                0.88699,               0.001208,               0.001208,               0.001208
                     42,                 0.5219,                0.32505,                0.90769,                0.93276,                0.82086,                0.86121,                0.73472,                0.54315,                0.31375,                0.89048,              0.0011882,              0.0011882,              0.0011882
                     43,                0.52436,                0.33032,                0.91121,                0.96206,                  0.822,                0.86483,                0.73037,                0.54605,                0.30405,                0.88703,              0.0011684,              0.0011684,              0.0011684
                     44,                0.51761,                0.31657,                0.91046,                0.94059,                0.82569,                0.87161,                0.75979,                0.52813,                 0.2968,                0.88678,              0.0011486,              0.0011486,              0.0011486
                     45,                0.51697,                0.32525,                0.90556,                0.94482,                0.83482,                0.86929,                0.74847,                0.50393,                0.30265,                0.87133,              0.0011288,              0.0011288,              0.0011288
                     46,                0.50446,                0.30981,                 0.9014,                0.95469,                 0.8122,                0.87868,                0.74537,                0.57011,                0.31125,                0.89395,               0.001109,               0.001109,               0.001109
                     47,                0.50008,                0.31216,                0.89914,                0.95003,                0.82313,                0.85631,                0.72383,                0.59861,                0.32514,                0.90792,              0.0010892,              0.0010892,              0.0010892
                     48,                0.50665,                0.31488,                0.90654,                0.94886,                0.82042,                0.86367,                0.74751,                0.51868,                0.31223,                0.87836,              0.0010694,              0.0010694,              0.0010694
                     49,                0.50001,                0.30532,                 0.8981,                0.95529,                0.81973,                0.87709,                0.76013,                0.51477,                  0.281,                0.87472,              0.0010496,              0.0010496,              0.0010496
                     50,                0.50266,                 0.3106,                0.90208,                0.93711,                0.84014,                0.87622,                0.76805,                 0.4958,                0.28362,                 0.8742,              0.0010298,              0.0010298,              0.0010298
                     51,                0.49227,                0.30505,                0.89611,                0.95396,                 0.8254,                0.86358,                 0.7461,                0.53392,                0.29292,                0.89111,                0.00101,                0.00101,                0.00101
                     52,                0.48774,                0.30039,                0.89509,                0.96258,                0.81406,                0.88071,                0.75911,                0.51726,                0.29251,                0.88449,              0.0009902,              0.0009902,              0.0009902
                     53,                0.49138,                0.30105,                0.89408,                0.95911,                0.82426,                 0.8792,                0.76511,                0.51201,                0.27984,                0.88149,              0.0009704,              0.0009704,              0.0009704
                     54,                0.48017,                0.29865,                0.89619,                 0.9322,                0.84181,                0.87909,                 0.7544,                 0.5186,                0.28779,                0.88135,              0.0009506,              0.0009506,              0.0009506
                     55,                0.48464,                0.29513,                0.89122,                0.92739,                 0.8424,                 0.8729,                0.71578,                0.65197,                0.30579,                0.93037,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.4757,                0.29218,                0.89092,                0.95429,                0.82313,                0.87437,                0.75594,                0.51562,                0.28402,                0.87785,               0.000911,               0.000911,               0.000911
                     57,                 0.4816,                0.29381,                 0.8917,                0.94577,                0.83044,                0.87213,                 0.7526,                0.51941,                0.28903,                0.87693,              0.0008912,              0.0008912,              0.0008912
                     58,                0.47376,                0.28852,                0.89121,                0.95253,                0.83787,                0.87898,                0.75424,                0.52042,                0.27463,                0.88521,              0.0008714,              0.0008714,              0.0008714
                     59,                0.46958,                0.28667,                0.88973,                0.92309,                0.86281,                0.88963,                0.76734,                0.50091,                 0.2845,                0.87145,              0.0008516,              0.0008516,              0.0008516
                     60,                0.46677,                0.28482,                0.88625,                0.96319,                0.83062,                0.88528,                0.77079,                0.50119,                0.27214,                0.86646,              0.0008318,              0.0008318,              0.0008318
                     61,                0.46598,                0.28429,                0.89018,                0.95875,                0.81686,                0.87161,                0.75259,                0.50904,                0.28544,                0.87985,               0.000812,               0.000812,               0.000812
                     62,                0.46549,                0.28281,                0.88899,                0.95857,                0.81293,                0.87939,                 0.7631,                0.50428,                0.27634,                0.86415,              0.0007922,              0.0007922,              0.0007922
                     63,                0.45749,                0.27962,                0.88471,                0.92187,                0.85714,                 0.8841,                0.77352,                0.51754,                0.28385,                0.87056,              0.0007724,              0.0007724,              0.0007724
                     64,                0.45608,                0.27636,                 0.8796,                 0.9497,                0.83494,                0.87782,                0.75875,                 0.5215,                0.28641,                0.87085,              0.0007526,              0.0007526,              0.0007526
                     65,                0.45485,                0.27399,                0.88322,                0.92816,                0.83493,                 0.8733,                0.75516,                0.52041,                0.29038,                0.87389,              0.0007328,              0.0007328,              0.0007328
