                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6323,                 2.4897,                 1.8125,                0.61276,                0.74038,                0.63485,                 0.2001,                 1.5072,                 3.0604,                 1.7499,                0.00032,                0.00032,                0.00032
                      2,                 1.3088,                 1.5222,                 1.4583,                0.87783,                0.66346,                0.77484,                0.30382,                  1.833,                 2.4774,                 1.6752,             0.00065347,             0.00065347,             0.00065347
                      3,                 1.2489,                 1.2503,                 1.4068,                0.40057,                0.12981,                 0.1787,                 0.0626,                 2.0924,                 3.0077,                 1.9458,              0.0009802,              0.0009802,              0.0009802
                      4,                 1.2839,                 1.1852,                 1.4164,                0.74903,                 0.1148,                0.21153,                0.08179,                 2.1031,                  2.647,                 1.9091,              0.0013002,              0.0013002,              0.0013002
                      5,                 1.2607,                 1.1038,                 1.4025,                0.34956,                0.21635,                0.18471,                0.06013,                  2.346,                 2.8059,                  2.362,              0.0016135,              0.0016135,              0.0016135
                      6,                  1.274,                  1.063,                 1.4147,                0.21577,                0.20673,                0.14905,                 0.0511,                 2.3672,                  2.638,                 2.4348,               0.001901,               0.001901,               0.001901
                      7,                 1.2649,                 1.0318,                 1.4109,                0.48631,                0.29327,                0.31763,                0.12215,                 2.3243,                 2.8832,                  2.135,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2529,                0.96983,                 1.4005,                0.24874,                0.32212,                0.22196,                0.09503,                 2.5091,                 3.7497,                 2.3029,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.227,                0.95035,                 1.3981,                0.62998,                    0.5,                0.49207,                0.15151,                 2.5849,                 2.6578,                 2.5743,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2375,                0.93036,                 1.3904,                0.76453,                0.59615,                0.63172,                 0.2187,                 2.3105,                  2.303,                 2.3199,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.1804,                0.87765,                 1.3637,                0.42208,                0.26442,                 0.2348,                0.08164,                 2.4654,                 3.5159,                 2.5439,               0.001802,               0.001802,               0.001802
                     12,                 1.1715,                0.84521,                 1.3475,                0.84128,                0.72115,                 0.7779,                0.35823,                 1.8532,                 1.1795,                 1.6555,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.1313,                0.81115,                 1.3212,                0.68142,                0.54327,                0.47945,                0.09864,                 2.8551,                 2.2813,                 3.0484,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0985,                0.78627,                 1.3036,                 0.8801,                0.78846,                0.83386,                0.41691,                 1.7253,                 1.1281,                  1.656,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.1188,                0.77984,                  1.314,                0.84197,                0.74519,                0.81323,                0.29974,                 2.2085,                 1.2522,                 2.0861,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.1247,                0.78729,                 1.3083,                0.86268,                0.81731,                0.84183,                0.37003,                 1.9608,                 1.1334,                 1.9348,               0.001703,               0.001703,               0.001703
                     17,                 1.1039,                 0.7676,                 1.3089,                 0.9337,                0.81245,                0.85303,                 0.3263,                 2.0353,                0.97148,                 1.9444,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0647,                0.74998,                 1.2834,                0.85342,                0.72781,                0.71557,                0.21461,                  2.515,                 1.1808,                  2.608,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.032,                0.71014,                 1.2691,                0.87679,                0.71846,                0.77104,                0.33322,                 2.0279,                 1.0804,                 1.9488,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0476,                0.70986,                 1.2684,                0.81605,                0.79327,                0.80239,                 0.4664,                 1.4826,                 1.0426,                 1.4652,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0719,                0.72581,                  1.272,                0.76001,                0.54327,                0.57688,                0.19968,                 2.4308,                 1.4329,                 2.6008,               0.001604,               0.001604,               0.001604
                     22,                 1.0302,                0.68293,                 1.2525,                0.86777,                 0.8125,                 0.8641,                0.41975,                 1.7337,                0.95197,                 1.6149,              0.0015842,              0.0015842,              0.0015842
                     23,                0.97623,                0.66509,                 1.2241,                 0.8989,                0.76946,                 0.8138,                0.28001,                 2.3681,                 1.0291,                 2.3306,              0.0015644,              0.0015644,              0.0015644
                     24,                0.99544,                0.67221,                 1.2335,                0.90294,                0.80288,                 0.8472,                0.50422,                 1.4426,                0.94002,                 1.4401,              0.0015446,              0.0015446,              0.0015446
                     25,                0.98515,                0.67252,                 1.2337,                0.83683,                0.78901,                 0.8189,                 0.2719,                 2.4388,                 1.1379,                 2.3633,              0.0015248,              0.0015248,              0.0015248
                     26,                0.98421,                0.67633,                 1.2277,                0.84677,                0.82359,                0.84184,                0.33572,                  2.084,                 1.0191,                 2.0692,               0.001505,               0.001505,               0.001505
                     27,                0.97765,                0.65177,                 1.2352,                0.88487,                0.73077,                0.83156,                0.36086,                 1.9193,                 1.0135,                 1.9624,              0.0014852,              0.0014852,              0.0014852
                     28,                 0.9795,                0.65865,                 1.2284,                0.90924,                0.81881,                 0.8784,                0.37621,                 1.9149,                0.92719,                 1.7965,              0.0014654,              0.0014654,              0.0014654
                     29,                0.95922,                0.64313,                 1.2209,                0.89273,                0.71154,                0.77496,                 0.3034,                 2.2136,                 1.0178,                 2.1794,              0.0014456,              0.0014456,              0.0014456
                     30,                0.91026,                0.61412,                  1.183,                0.88379,                0.77885,                0.86066,                0.39005,                 1.8804,                 0.9943,                 1.9277,              0.0014258,              0.0014258,              0.0014258
                     31,                0.91949,                0.61602,                 1.1844,                0.90434,                0.89423,                0.94394,                0.55693,                 1.4813,                0.69506,                 1.5381,               0.001406,               0.001406,               0.001406
                     32,                0.91689,                 0.6083,                 1.1902,                0.91996,                0.87019,                0.91201,                0.40783,                 1.8668,                0.80146,                 1.8302,              0.0013862,              0.0013862,              0.0013862
                     33,                0.92912,                0.62718,                 1.1921,                0.80319,                0.72115,                0.81009,                 0.4961,                 1.4704,                 1.0188,                 1.4615,              0.0013664,              0.0013664,              0.0013664
                     34,                0.91034,                 0.6207,                 1.1864,                0.91248,                0.80202,                0.88128,                0.50286,                 1.5402,                0.84033,                 1.5484,              0.0013466,              0.0013466,              0.0013466
                     35,                0.90192,                0.58667,                 1.1715,                 0.9177,                0.86538,                0.87744,                0.45751,                    1.7,                 0.7727,                 1.6478,              0.0013268,              0.0013268,              0.0013268
                     36,                0.87369,                0.57605,                 1.1526,                0.94299,                0.87019,                0.92349,                0.53928,                 1.4326,                 0.6891,                 1.4524,               0.001307,               0.001307,               0.001307
                     37,                0.87993,                0.58208,                 1.1671,                0.90925,                0.83173,                0.85735,                0.37082,                 1.9408,                0.84874,                 1.8878,              0.0012872,              0.0012872,              0.0012872
                     38,                0.86934,                0.58144,                 1.1597,                0.88508,                0.89423,                 0.9243,                0.51204,                 1.5487,                0.80835,                  1.541,              0.0012674,              0.0012674,              0.0012674
                     39,                0.86305,                0.56796,                 1.1577,                0.85652,                0.83227,                 0.8157,                0.25974,                 2.3959,                 1.1906,                 2.4219,              0.0012476,              0.0012476,              0.0012476
                     40,                0.86587,                0.56394,                  1.159,                0.90248,                0.80087,                0.84703,                0.31098,                 2.2324,                0.94638,                 2.1362,              0.0012278,              0.0012278,              0.0012278
                     41,                0.84136,                0.54794,                 1.1421,                0.86041,                0.74082,                0.75584,                0.30948,                 2.1075,                0.98413,                 2.2011,               0.001208,               0.001208,               0.001208
                     42,                0.84384,                0.55317,                 1.1436,                0.94512,                0.86058,                0.90695,                0.47081,                  1.745,                0.71832,                 1.8024,              0.0011882,              0.0011882,              0.0011882
                     43,                0.82121,                0.53685,                 1.1302,                0.88049,                0.87981,                0.89078,                0.43866,                  1.757,                0.83493,                 1.7763,              0.0011684,              0.0011684,              0.0011684
                     44,                0.83153,                0.54348,                 1.1352,                0.87045,                0.85096,                0.88846,                0.47079,                 1.6076,                0.79865,                 1.6064,              0.0011486,              0.0011486,              0.0011486
                     45,                0.80798,                0.52424,                 1.1243,                0.91592,                0.83794,                0.92379,                0.55135,                 1.4163,                0.72954,                  1.399,              0.0011288,              0.0011288,              0.0011288
                     46,                0.81983,                0.52353,                 1.1294,                0.95168,                0.89904,                0.92909,                0.52117,                 1.5576,                  0.798,                 1.5231,               0.001109,               0.001109,               0.001109
